Div,kind,PARTS NO,Size,ENG_NAME,CURR_INV,miniAmount,location,JP stocks
BW,PARTS,VD7-3913-201,000,"FUSE,3.2A",1,1,神岡,0
BV,PARTS,WG1-0453-000,000,"LAMP, HALOGEN",0,0,神岡,13
BW,PARTS,WG8-5563-000,000,PHOTO INTERRUPTER,2,2,神岡,0
BW,PARTS,WG8-5578-000,000,"PHOTO INTERRUPTER, PM-T54 SUNX",15,2,神岡,0
BW,PARTS,WG8-5581-000,000,PHOTO INTERRUPTER,3,2,神岡,5
BW,PARTS,WG8-5608-000,000,PHOTO INTERRUPTER,1,2,神岡,0
BW,PARTS,WG8-5611-000,000,PHOTO INTERRUPTER,5,2,神岡,57
BW,PARTS,WG8-5613-000,000,PHOTO INTERRUPTER,2,2,神岡,10
BW,PARTS,WG8-5614-000,000,PHOTO INTERRUPTER,6,2,神岡,43
BW,PARTS,WN2-5227-000,000,"CONVERTER,DC-DC",6,1,神岡,18
BV,PARTS,WT2-5554-000,000,"CABLE TIE,TEFLON(R)",95,45,神岡,968
BV,PARTS,Y60-1173-000,000,VACUUM PIN (3PCS/SET),1,2,神岡,0
BV,PARTS,Y60-1513-000,000,"SEAL GLASS UNIT,IZ",4,3,神岡,2
BV,PARTS,Y60-1529-000,000,SEAL GLASS UNIT,4,3,神岡,11
BV,PARTS,Y60-1843-000,000,CONVEX LENS UNIT,1,1,神岡,3
BV,PARTS,Y60-1844-000,000,CONVEX LENS UNIT 2,1,1,神岡,3
BV,PARTS,Y60-1846-000,000,PARALLEL PLANE PLATE UNIT,4,3,神岡,21
BV,PARTS,Y60-1938-000,000,"SEAL LENS UNIT,2ND CONDENSER",1,1,神岡,2
BV,PARTS,Y60-2235-000,000,"GLASS UNIT,DUST-PROOF",3,2,神岡,0
BV,PARTS,Y60-2243-000,000,"EXPOSURE SHUTTER UNIT,IZ",2,0,神岡,0
BV,PARTS,Y60-2272-000,000,EXTENTION CABLE ASS'Y(Q),1,1,神岡,0
BV,PARTS,Y60-2293-000,000,SEAL GLASS UNIT(40W),3,2,神岡,3
BV,PARTS,Y60-2430-000,000,"ROBOT UNIT, R-THETA, WF9(L)",2,2,神岡,5
BV,PARTS,Y60-2432-000,000,"ROBOT UNIT, R-THETA, WF9(R)",2,2,神岡,0
BV,PARTS,Y60-2493-000,000,"CONVEX LENS UNIT, SEAL LENS",2,2,神岡,11
BV,PARTS,Y60-2498-000,000,"SHUTTER UNIT, EXPOSURE, 5510IZ",2,3,神岡,0
BV,PARTS,Y60-2502-000,000,PRE-ALIGNMENT STAGE UNIT,1,1,神岡,2
BV,PARTS,Y60-2532-000,000,"CONVEX LENS UNIT, (SEAL LENS)",2,2,神岡,15
BV,PARTS,Y60-2543-000,000,"MASKING BLADE UNIT, TYPE-2/IZ",1,2,神岡,0
